user_id,prosthesis_type,muscle_group,signal_frequency,signal_duration,signal_amplitude,signal_time
54,hand,Biceps,443,3836,1.7,2025-03-26 01:24:34
576,hand,Hamstrings,486,925,1.22,2025-02-22 17:21:44
252,arm,Biceps,273,1217,4.45,2025-02-25 02:00:20
750,hand,Biceps,72,1259,3.5,2025-02-09 00:18:58
441,leg,Gastrocnemius,185,4344,4.27,2025-03-22 09:21:33
821,hand,Triceps,470,4817,3.04,2025-02-21 00:25:57
788,leg,Quadriceps,272,4911,3.37,2025-03-15 19:56:53
498,leg,Deltoid,264,3568,2.8,2025-03-27 20:11:46
840,arm,Gastrocnemius,386,2645,1.27,2025-02-22 17:25:56
76,leg,Gastrocnemius,248,3253,0.57,2025-03-10 02:53:40
373,arm,Hamstrings,167,3823,2.89,2025-03-19 01:40:18
507,leg,Deltoid,169,4957,2.68,2025-02-12 04:34:28
388,hand,Biceps,55,1603,2.55,2025-02-02 08:51:22
702,hand,Gastrocnemius,374,3943,0.5,2025-03-12 02:32:22
725,arm,Biceps,271,570,4.08,2025-02-25 02:34:44
651,hand,Biceps,215,2650,4.8,2025-02-03 17:21:26
357,arm,Deltoid,375,1842,4.48,2025-02-27 02:45:55
696,arm,Hamstrings,392,2424,3.85,2025-03-25 20:03:48
532,hand,Quadriceps,206,1697,4.61,2025-03-22 09:49:53
399,hand,Triceps,323,3266,2.83,2025-03-13 05:51:37
396,hand,Biceps,429,1614,2.55,2025-02-02 11:28:55
757,leg,Deltoid,414,4195,1.87,2025-03-23 00:10:33
333,leg,Quadriceps,334,1625,2.05,2025-02-07 17:46:23
231,leg,Hamstrings,97,2726,4.68,2025-02-16 06:56:20
271,hand,Biceps,306,1158,4.8,2025-03-05 06:48:57
913,arm,Triceps,187,2391,0.88,2025-02-21 02:21:35
551,arm,Quadriceps,119,4464,2.72,2025-02-26 00:16:45
853,leg,Gastrocnemius,224,3742,4.62,2025-03-26 16:59:08
625,leg,Biceps,456,4550,2.05,2025-03-10 03:44:03
370,hand,Hamstrings,392,3946,1.92,2025-02-14 14:21:51
772,arm,Triceps,245,1011,4.29,2025-02-25 16:16:53
947,arm,Quadriceps,242,3518,0.81,2025-02-19 03:58:16
515,leg,Hamstrings,78,3617,0.73,2025-02-25 09:06:29
588,leg,Hamstrings,174,4148,1.7,2025-03-01 18:36:22
255,leg,Gastrocnemius,306,2752,2.02,2025-02-04 05:07:01
439,leg,Gastrocnemius,425,1580,2.65,2025-02-03 15:34:09
334,hand,Triceps,356,763,2.59,2025-03-30 19:49:18
723,leg,Biceps,214,3666,1.52,2025-03-29 02:55:16
292,arm,Gastrocnemius,233,3981,0.7,2025-02-01 15:43:10
203,arm,Hamstrings,318,1859,3.94,2025-04-01 16:53:12
311,hand,Gastrocnemius,164,2813,2.88,2025-02-07 14:39:34
571,hand,Triceps,316,1055,3.36,2025-02-26 13:51:50
460,arm,Biceps,341,4044,3.93,2025-02-28 16:22:09
506,arm,Triceps,158,2476,4.88,2025-02-16 06:04:25
